influencer_id,constituency_id,name,category,sub_category,influence_level,influence_score,reach_estimate,location_ward,location_mandal,contact_phone,contact_email,political_leaning,engagement_history,key_issues,relationship_strength,last_interaction_date,next_followup_date,notes,added_by,verified,created_at,updated_at
849301f7-a246-45cd-b5b6-9d29d6d54914,PC01,Influencer_1_PC01,business,business_local,medium,56,35824,Asifabad,Khanapur,+917392324062,influencer1@example.com,unknown,"[{""date"": ""2025-06-14"", ""event"": ""Community gathering"", ""outcome"": ""Positive""}]","[""Healthcare"", ""Healthcare"", ""Employment"", ""Infrastructure""]",strong,2025-10-13,2026-01-03,,coordinator_5,True,2025-12-10 14:06:00,2025-12-29 14:06:00
477ad8b9-2d3b-4629-a16e-7aaaf6b8f9cc,PC01,Influencer_2_PC01,media,,high,89,37224,Adilabad,Boath,+918185917579,influencer2@example.com,unknown,"[{""date"": ""2024-11-06"", ""event"": ""Meeting"", ""outcome"": ""Needs follow-up""}]","[""Infrastructure"", ""Education""]",weak,2025-01-08,2025-03-10,,coordinator_1,True,2025-01-19 18:58:00,2025-01-22 18:58:00
1ab2057a-8ada-4625-abb9-0ca96b93c4f1,PC01,Influencer_3_PC01,youth,youth_local,low,75,12252,Chennur,Nirmal,+918465181105,influencer3@example.com,opposition,"[{""date"": ""2025-02-18"", ""event"": ""Community gathering"", ""outcome"": ""Positive""}]","[""Education"", ""Infrastructure"", ""Education""]",none,2025-06-30,2025-08-23,Key influencer in youth sector,coordinator_2,False,2025-08-03 20:24:00,2025-08-31 20:24:00
434d29e6-30c1-441e-aaa4-67e6e0ffb46f,PC01,Influencer_4_PC01,community,community_local,low,93,11873,Boath,Chennur,+919507966755,influencer4@example.com,neutral,"[{""date"": ""2025-01-06"", ""event"": ""Event"", ""outcome"": ""Neutral""}, {""date"": ""2024-10-11"", ""event"": ""Event"", ""outcome"": ""Needs follow-up""}]","[""Education"", ""Education"", ""Healthcare"", ""Infrastructure""]",weak,2025-01-09,2025-03-28,Key influencer in community sector,coordinator_5,True,2025-02-21 03:29:00,2025-03-02 03:29:00
db16dae1-ac55-4c73-8c98-0fbe84b0620e,PC01,Influencer_5_PC01,women,,medium,81,10071,Adilabad,Mancherial,+918734838011,influencer5@example.com,opposition,"[{""date"": ""2025-02-01"", ""event"": ""Event"", ""outcome"": ""Positive""}]","[""Employment"", ""Infrastructure"", ""Education""]",moderate,2025-02-25,2025-05-26,Key influencer in women sector,coordinator_3,True,2025-04-07 04:58:00,2025-05-02 04:58:00
33bd929e-15ca-4479-a853-7fae32c2c769,PC01,Influencer_6_PC01,media,,low,41,13111,Khanapur,Boath,+917426311394,influencer6@example.com,favorable,"[{""date"": ""2025-02-28"", ""event"": ""Meeting"", ""outcome"": ""Positive""}, {""date"": ""2025-01-09"", ""event"": ""Phone call"", ""outcome"": ""Needs follow-up""}, {""date"": ""2025-05-03"", ""event"": ""Event"", ""outcome"": ""Positive""}, {""date"": ""2025-01-13"", ""event"": ""Event"", ""outcome"": ""Neutral""}]","[""Employment"", ""Infrastructure"", ""Healthcare"", ""Employment""]",weak,2025-04-15,2025-06-23,Key influencer in media sector,coordinator_4,True,2025-06-13 15:32:00,2025-07-12 15:32:00
77bf67d6-c7d9-4152-a91e-53822d84ff94,PC01,Influencer_7_PC01,community,,medium,46,13995,Boath,Chennur,+918005298653,influencer7@example.com,neutral,"[{""date"": ""2025-01-07"", ""event"": ""Phone call"", ""outcome"": ""Needs follow-up""}, {""date"": ""2024-10-30"", ""event"": ""Community gathering"", ""outcome"": ""Positive""}]","[""Infrastructure"", ""Infrastructure"", ""Education""]",moderate,2025-02-08,2025-04-07,,coordinator_2,False,2025-02-28 05:53:00,2025-03-24 05:53:00
0273e69b-e1aa-4c90-be65-913846c5d8cd,PC01,Influencer_8_PC01,media,,high,90,11056,Khanapur,Adilabad,+917637651969,influencer8@example.com,favorable,"[{""date"": ""2025-02-25"", ""event"": ""Community gathering"", ""outcome"": ""Positive""}]","[""Employment"", ""Infrastructure"", ""Education"", ""Education""]",weak,2025-06-14,,Key influencer in media sector,coordinator_2,False,2025-06-16 06:24:00,2025-07-01 06:24:00
28f0879f-269d-44ed-bba9-cfbffe0fdd5f,PC01,Influencer_9_PC01,community,,low,88,9424,Khanapur,Chennur,+919222583435,influencer9@example.com,favorable,"[{""date"": ""2025-05-02"", ""event"": ""Event"", ""outcome"": ""Positive""}]","[""Infrastructure"", ""Education"", ""Education"", ""Healthcare""]",strong,2025-08-11,2025-12-01,,coordinator_2,True,2025-10-04 10:12:00,2025-10-31 10:12:00
40bd17e0-e480-4c5f-a574-fd2397c991bc,PC01,Influencer_10_PC01,business,,high,73,32307,Khanapur,Boath,+917897054556,influencer10@example.com,neutral,"[{""date"": ""2024-12-05"", ""event"": ""Community gathering"", ""outcome"": ""Needs follow-up""}, {""date"": ""2024-08-29"", ""event"": ""Phone call"", ""outcome"": ""Positive""}, {""date"": ""2024-09-15"", ""event"": ""Community gathering"", ""outcome"": ""Neutral""}, {""date"": ""2024-10-14"", ""event"": ""Community gathering"", ""outcome"": ""Needs follow-up""}]","[""Healthcare"", ""Education""]",weak,2024-12-20,2025-02-02,Key influencer in business sector,coordinator_1,True,2025-01-17 09:53:00,2025-02-12 09:53:00
