escalation_id,constituency_id,original_issue_id,issue_type,issue_category,issue_description,escalation_level,escalation_reason,escalated_from,escalated_to,escalated_at,original_report_date,days_since_reported,sla_breached,sla_deadline,status,priority,complainant_name,complainant_contact,complainant_location,assigned_to,assigned_at,actions_taken,resolution_time_hours,resolution_notes,resolved_by,resolved_at,complainant_satisfied,satisfaction_score,feedback,root_cause,preventive_measures,created_at,updated_at
4c78815e-5e97-4e81-812a-e28d09c459f7,PC01,1c79f588-c22c-4a11-99b4-a9d6feb7ec02,service_request,electricity,Issue in Adilabad requiring escalation,1,Requires senior attention,officer_level_1,officer_level_2,2025-03-04 03:42:00,2025-02-21 08:42:00,11,False,2025-03-12 08:42:00,closed,p3_low,Complainant_460,+91-7175760061,Adilabad,resolver_15,2025-03-04 10:42:00,"[{""action"": ""Team deployed"", ""action_by"": ""officer_8"", ""action_at"": ""2025-03-06T20:42:00"", ""notes"": ""Action notes 88""}, {""action"": ""Coordination meeting"", ""action_by"": ""officer_3"", ""action_at"": ""2025-03-06T13:42:00"", ""notes"": ""Action notes 20""}]",79.0,Issue resolved through coordination,resolver_1,2025-03-07 10:42:00,False,5.0,Feedback from complainant,Technical issue,"[""Measure 1""]",2025-03-04 03:42:00,2025-03-07 10:42:00
353a8ca9-3a1a-4578-b130-cc043a1808da,PC01,bd3608eb-a173-4e62-9d20-ad0626c174fc,grievance,infrastructure,Issue in Adilabad requiring escalation,3,SLA breach,officer_level_1,officer_level_4,2025-11-10 08:08:00,2025-11-02 18:08:00,8,False,2025-11-19 18:08:00,action_initiated,p1_high,Complainant_288,+91-7615814052,Adilabad,resolver_8,2025-11-11 05:08:00,"[{""action"": ""Site inspection"", ""action_by"": ""officer_8"", ""action_at"": ""2025-11-14T06:08:00"", ""notes"": ""Action notes 73""}, {""action"": ""Site inspection"", ""action_by"": ""officer_2"", ""action_at"": ""2025-11-12T09:08:00"", ""notes"": ""Action notes 63""}]",,,,,,,,,[],2025-11-10 08:08:00,2025-11-11 15:08:00
fc9b45e2-047a-4eca-9e9c-dc023a601a34,PC01,d4265c41-fa17-478c-88a1-1f09fe8d7e8f,emergency,roads,Issue in Adilabad requiring escalation,1,No action taken,officer_level_3,officer_level_3,2025-06-02 14:35:00,2025-05-20 19:35:00,13,False,2025-06-06 19:35:00,under_review,p3_low,Complainant_823,+91-7813378494,Asifabad,resolver_15,2025-06-03 01:35:00,"[{""action"": ""Site inspection"", ""action_by"": ""officer_6"", ""action_at"": ""2025-06-04T16:35:00"", ""notes"": ""Action notes 87""}]",,,,,,,,,[],2025-06-02 14:35:00,2025-06-03 21:35:00
727d14f2-98e2-4645-939f-db60c9ed190e,PC01,2b9e8512-f04a-41a5-834d-e7ded112f0c3,feedback,law_order,Issue in Adilabad requiring escalation,2,No action taken,officer_level_2,officer_level_3,2025-11-06 14:42:00,2025-10-31 14:42:00,6,False,2025-11-18 14:42:00,resolved,p3_low,Complainant_992,+91-9200957593,Adilabad,resolver_14,2025-11-07 11:42:00,"[{""action"": ""Coordination meeting"", ""action_by"": ""officer_6"", ""action_at"": ""2025-11-07T14:42:00"", ""notes"": ""Action notes 13""}]",46.0,Issue resolved through immediate intervention,resolver_13,2025-11-08 12:42:00,False,2.0,,Coordination gap,"[""Measure 1"", ""Measure 2"", ""Measure 3""]",2025-11-06 14:42:00,2025-11-08 12:42:00
eda8333c-79a9-486b-89e9-be3db9712c37,PC01,889836e4-7353-48ad-a561-ddd1c01a85e9,complaint,roads,Issue in Adilabad requiring escalation,2,No action taken,officer_level_3,officer_level_4,2025-02-21 20:22:00,2025-02-13 17:22:00,8,False,2025-03-01 17:22:00,escalated,p3_low,Complainant_26,+91-7999912886,Adilabad,resolver_6,2025-02-22 20:22:00,"[{""action"": ""Site inspection"", ""action_by"": ""officer_7"", ""action_at"": ""2025-02-22T22:22:00"", ""notes"": ""Action notes 42""}, {""action"": ""Team deployed"", ""action_by"": ""officer_6"", ""action_at"": ""2025-02-22T06:22:00"", ""notes"": ""Action notes 54""}]",,,,,,,,,[],2025-02-21 20:22:00,2025-02-22 18:22:00
4ee6334c-38c5-45df-b30c-aace7e55a5e7,PC01,334f17b4-7fe7-469a-b000-c4b77fe6930a,service_request,infrastructure,Issue in Adilabad requiring escalation,4,SLA breach,officer_level_2,officer_level_2,2025-04-18 17:25:00,2025-04-09 10:25:00,9,False,2025-04-24 10:25:00,escalated,p2_medium,Complainant_354,+91-9140279861,Nirmal,resolver_12,2025-04-19 00:25:00,"[{""action"": ""Site inspection"", ""action_by"": ""officer_8"", ""action_at"": ""2025-04-21T03:25:00"", ""notes"": ""Action notes 17""}, {""action"": ""Coordination meeting"", ""action_by"": ""officer_7"", ""action_at"": ""2025-04-19T20:25:00"", ""notes"": ""Action notes 35""}, {""action"": ""Resource allocation"", ""action_by"": ""officer_6"", ""action_at"": ""2025-04-21T00:25:00"", ""notes"": ""Action notes 35""}, {""action"": ""Coordination meeting"", ""action_by"": ""officer_4"", ""action_at"": ""2025-04-21T13:25:00"", ""notes"": ""Action notes 19""}]",,,,,,,,,[],2025-04-18 17:25:00,2025-04-19 05:25:00
42d36484-fb71-4d1d-a10e-e13d7c1799e9,PC01,ba3054c2-70f2-40ad-ba4a-eb461e4749e6,feedback,law_order,Issue in Adilabad requiring escalation,2,Requires senior attention,officer_level_2,officer_level_4,2025-06-07 09:07:00,2025-06-02 10:07:00,5,False,2025-07-02 10:07:00,escalated,p1_high,Complainant_295,+91-7356216525,Mancherial,resolver_12,2025-06-07 19:07:00,"[{""action"": ""Coordination meeting"", ""action_by"": ""officer_4"", ""action_at"": ""2025-06-09T20:07:00"", ""notes"": ""Action notes 30""}]",,,,,,,,,[],2025-06-07 09:07:00,2025-06-08 02:07:00
5d3efe87-d95b-4462-946a-2eef4457f7ca,PC01,159c2d91-6d3f-4d5f-84e3-e6ada704bd73,complaint,electricity,Issue in Adilabad requiring escalation,1,SLA breach,officer_level_2,officer_level_3,2025-11-03 20:02:00,2025-10-19 08:02:00,15,False,2025-11-05 08:02:00,closed,p2_medium,Complainant_331,+91-7700405854,Nirmal,resolver_3,2025-11-04 07:02:00,"[{""action"": ""Coordination meeting"", ""action_by"": ""officer_3"", ""action_at"": ""2025-11-04T05:02:00"", ""notes"": ""Action notes 68""}]",44.0,Issue resolved through resource deployment,resolver_13,2025-11-05 16:02:00,True,1.0,Feedback from complainant,Coordination gap,"[""Measure 1"", ""Measure 2"", ""Measure 3""]",2025-11-03 20:02:00,2025-11-05 16:02:00
09d09694-9b73-4d9e-a0d2-01a83ef341b8,PC01,d4db67b5-d028-473d-a50e-51655afdda66,emergency,healthcare,Issue in Adilabad requiring escalation,2,Requires senior attention,officer_level_3,officer_level_4,2025-07-25 00:06:00,2025-07-10 18:06:00,15,False,2025-08-02 18:06:00,under_review,p0_critical,Complainant_301,+91-8927482882,Boath,resolver_6,2025-07-25 08:06:00,"[{""action"": ""Site inspection"", ""action_by"": ""officer_10"", ""action_at"": ""2025-07-27T01:06:00"", ""notes"": ""Action notes 10""}, {""action"": ""Site inspection"", ""action_by"": ""officer_1"", ""action_at"": ""2025-07-27T11:06:00"", ""notes"": ""Action notes 16""}]",,,,,,,,,[],2025-07-25 00:06:00,2025-07-26 17:06:00
b1ce9027-b6a5-4321-9da0-5eea47f6a937,PC01,640ed00a-0781-40d4-83c6-6cb96afc92a9,grievance,education,Issue in Adilabad requiring escalation,3,VIP complaint,officer_level_2,officer_level_3,2025-07-17 11:53:00,2025-07-06 15:53:00,11,False,2025-08-01 15:53:00,resolved,p1_high,Complainant_243,+91-7774543241,Boath,resolver_14,2025-07-17 20:53:00,"[{""action"": ""Resource allocation"", ""action_by"": ""officer_8"", ""action_at"": ""2025-07-19T12:53:00"", ""notes"": ""Action notes 76""}]",71.0,Issue resolved through immediate intervention,resolver_14,2025-07-20 10:53:00,False,3.0,,Resource shortage,"[""Measure 1"", ""Measure 2"", ""Measure 3""]",2025-07-17 11:53:00,2025-07-20 10:53:00
307806b0-908b-4d97-83a9-f1c0a5d82b31,PC01,7cd03366-42a4-4574-85f1-181aa621a114,complaint,infrastructure,Issue in Adilabad requiring escalation,4,SLA breach,officer_level_1,officer_level_4,2025-11-28 21:43:00,2025-11-19 20:43:00,9,False,2025-11-30 20:43:00,under_review,p0_critical,Complainant_179,+91-7898894710,Nirmal,resolver_2,2025-11-29 07:43:00,"[{""action"": ""Site inspection"", ""action_by"": ""officer_4"", ""action_at"": ""2025-12-01T15:43:00"", ""notes"": ""Action notes 15""}]",,,,,,,,,[],2025-11-28 21:43:00,2025-11-29 18:43:00
94ca10dd-0134-4fe1-8eb8-d453bea3b56a,PC01,fe28e013-44d3-4d25-9609-e0aae778ca17,emergency,roads,Issue in Adilabad requiring escalation,4,SLA breach,officer_level_2,officer_level_3,2025-04-16 23:15:00,2025-04-14 11:15:00,2,False,2025-04-26 11:15:00,closed,p0_critical,Complainant_357,+91-7234406262,Nirmal,resolver_7,2025-04-17 02:15:00,"[{""action"": ""Resource allocation"", ""action_by"": ""officer_8"", ""action_at"": ""2025-04-20T21:15:00"", ""notes"": ""Action notes 41""}]",236.0,Issue resolved through immediate intervention,resolver_13,2025-04-26 19:15:00,True,3.0,Feedback from complainant,Administrative delay,"[""Measure 1""]",2025-04-16 23:15:00,2025-04-26 19:15:00
580142cb-0a79-40a7-b182-4b6bacff1855,PC01,30771819-c468-4aa2-8e56-6632dc5a7d52,complaint,healthcare,Issue in Adilabad requiring escalation,3,Requires senior attention,officer_level_2,officer_level_2,2025-09-23 16:12:00,2025-09-15 19:12:00,8,False,2025-09-30 19:12:00,action_initiated,p1_high,Complainant_760,+91-8507310986,Khanapur,resolver_6,2025-09-23 20:12:00,"[{""action"": ""Coordination meeting"", ""action_by"": ""officer_2"", ""action_at"": ""2025-09-24T04:12:00"", ""notes"": ""Action notes 11""}]",,,,,,,,,[],2025-09-23 16:12:00,2025-09-24 14:12:00
a1f9d2bd-f12e-4737-b308-fda6f00609d4,PC01,e20d7736-be26-418f-813c-d2dabeab4ae0,complaint,sanitation,Issue in Adilabad requiring escalation,2,VIP complaint,officer_level_3,officer_level_4,2025-01-17 01:27:00,2025-01-14 12:27:00,3,False,2025-01-22 12:27:00,escalated,p0_critical,Complainant_815,+91-9693765442,Adilabad,resolver_13,2025-01-17 10:27:00,"[{""action"": ""Team deployed"", ""action_by"": ""officer_7"", ""action_at"": ""2025-01-17T09:27:00"", ""notes"": ""Action notes 13""}, {""action"": ""Site inspection"", ""action_by"": ""officer_6"", ""action_at"": ""2025-01-20T03:27:00"", ""notes"": ""Action notes 29""}]",,,,,,,,,[],2025-01-17 01:27:00,2025-01-18 07:27:00
f5221814-048d-458c-a7ea-be36ac1b829d,PC01,e296324d-a026-4b8a-b27e-7130ab74a3e2,feedback,healthcare,Issue in Adilabad requiring escalation,1,SLA breach,officer_level_2,officer_level_3,2025-02-03 05:28:00,2025-01-27 15:28:00,7,False,2025-02-25 15:28:00,resolved,p0_critical,Complainant_195,+91-9570783149,Asifabad,resolver_14,2025-02-04 02:28:00,"[{""action"": ""Site inspection"", ""action_by"": ""officer_8"", ""action_at"": ""2025-02-05T16:28:00"", ""notes"": ""Action notes 82""}, {""action"": ""Site inspection"", ""action_by"": ""officer_9"", ""action_at"": ""2025-02-05T06:28:00"", ""notes"": ""Action notes 1""}]",100.0,Issue resolved through coordination,resolver_2,2025-02-07 09:28:00,True,4.0,Feedback from complainant,Technical issue,"[""Measure 1""]",2025-02-03 05:28:00,2025-02-07 09:28:00
47cb603c-485d-4c47-b36f-61bff97e3cf7,PC01,8032057c-2b0f-428b-b5d4-89f128ffc082,complaint,water_supply,Issue in Adilabad requiring escalation,4,Requires senior attention,officer_level_2,officer_level_4,2025-11-27 18:03:00,2025-11-15 13:03:00,12,False,2025-12-07 13:03:00,resolved,p1_high,Complainant_574,+91-8654293011,Asifabad,resolver_10,2025-11-27 20:03:00,"[{""action"": ""Resource allocation"", ""action_by"": ""officer_2"", ""action_at"": ""2025-12-01T00:03:00"", ""notes"": ""Action notes 29""}, {""action"": ""Team deployed"", ""action_by"": ""officer_9"", ""action_at"": ""2025-11-28T10:03:00"", ""notes"": ""Action notes 24""}, {""action"": ""Team deployed"", ""action_by"": ""officer_7"", ""action_at"": ""2025-12-01T12:03:00"", ""notes"": ""Action notes 25""}]",236.0,Issue resolved through immediate intervention,resolver_11,2025-12-07 14:03:00,True,2.0,,Technical issue,"[""Measure 1"", ""Measure 2""]",2025-11-27 18:03:00,2025-12-07 14:03:00
ea3d15d8-ec99-457c-8801-b119b915159a,PC01,e63087b8-f7f0-457d-8318-a70a7434e138,complaint,sanitation,Issue in Adilabad requiring escalation,3,SLA breach,officer_level_3,officer_level_3,2025-06-24 21:45:00,2025-06-12 08:45:00,12,True,2025-06-24 08:45:00,resolved,p2_medium,Complainant_52,+91-9681323219,Nirmal,resolver_9,2025-06-25 02:45:00,"[{""action"": ""Coordination meeting"", ""action_by"": ""officer_1"", ""action_at"": ""2025-06-27T08:45:00"", ""notes"": ""Action notes 11""}]",102.0,Issue resolved through coordination,resolver_8,2025-06-29 03:45:00,False,1.0,,Resource shortage,"[""Measure 1""]",2025-06-24 21:45:00,2025-06-29 03:45:00
